parameters,2.5%,25.0%,50.0%,75.0%,97.5%
ρ₀,0.004614032628778338,0.004878765446715968,0.005058204633197781,0.005234718637729362,0.0056145204083327205
ψ,0.18743779232158642,0.2022085972959817,0.21014786316595183,0.21814555253776682,0.23542177972735906
q,0.00024973761568972786,0.00025738372021442426,0.00026159748585315233,0.00026567614492004115,0.0002731372032312378
β₀,2.772583114070329,2.8961589909364163,2.9595784470710056,3.0298214293108834,3.160117709716816
η,0.043659251970436526,0.04515457159973798,0.045956904867251944,0.04671420700845082,0.04834458468397854
ω,371.31729825005306,384.7536191924445,392.36772594934394,400.2104656523841,414.37625003157444
φ,189.8609238296348,193.66051532602057,195.34718773482737,197.0525079621818,200.40020324012752
δ₁,0.7782840153900683,0.7914381290613138,0.799187679402656,0.8069062312903573,0.8210980048246771
δ₂,0.797802363263441,0.8707601918794079,0.9067697365076621,0.9354801730752939,0.9745230201919097
δ₃,0.29003109385545395,0.3117972328532747,0.3247722231946528,0.33821800026982657,0.3708169321193935
